participantID,gender,maritalStatus,age,housing,townType,governorate,employment ,workLocation,education,beforeIncome,afterIncome,haveGarden,timeInGardenYN,whyNoTimeInGarden,aloneInGarden,familyInGarden,kidsInGarden,neighborsInGarden,friendsInGarden,afterGardenRelaxing,afterGardenExercising,afterGardenGardening,afterGardenOrchard,afterGardenOrnamentals,afterGardenLandscaping,afterGardenLivestock,afterGardenBirdPhotography,afterGardenHarvesting,visitGreenspace,whyNoVisitGreenspace,aloneGreenspace,familyGreenspace,kidsGreenspace,neighborsGreenspace,friendsGreenspace,walkingGreenspace,bicyclingGreenspace,carGreenspace,busGreenspace,taxiGreenspace,distanceGreenspace_under0.5,distanceGreenspace_0.5to1,distanceGreenspace_1to2,distanceGreenspace_over2,afterGreenspaceExercise,afterGreenspaceRelaxing,afterGreenspaceBirdPhotography,afterGreenspaceHarvesting,visitNatural,whyNoVisitNatural,aloneNatural,familyNatural,kidsNatural,neighborsNatural,friendsNatural,walkingNatural,bicyclingNatural,carNatural,busNatural,taxiNatural,distanceNatural_under0.5,distanceNatural_0.5to1,distanceNatural_1to2,distanceNatural_2to4,distanceNatural_over4,afterNaturalExercise,afterNaturalRelaxing,afterNaturalBirdPhotography,afterNaturalScenery,afterNaturalHarvesting,afterNaturalGathering,afterNaturalHistoric,afterNaturalCamping,afterNaturalLandscaping,afterNaturalCultivation,afterNaturalOrchard,afterNaturalLivestock
513,Male,Single, 26 - 35,House,Town,Tulkarem,Private Sector Employee,Inside the West Bank,Bachelor,I prefer not to answer,Increased,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,Much more often,I don't do this activity,About the same,About the same,More often,About the same,I don't do this activity,About the same,I don't do this activity,No,The available parks and green areas are not appropriate for receiving people,,,,,,,,,,,,,,,,,,,Yes,,,After the pandemic occurred,,,Before the pandemic,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,I don't do this activity,About the same,I don't do this activity,Less often,I don't do this activity,Less often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
514,Female,Married,36 - 45,House,Town,Ramallah,Unemployed,Inside the West Bank,Bachelor,I prefer not to answer,Decreased,Yes,Yes,,,,"Before the pandemic, After the pandemic occurred",,,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,,,Before the pandemic,,,,,,Before the pandemic,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,No,Because of lack of time,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Female,Married,36 - 45,House,Town,Bethlehem,Unemployed,,Diploma,I have no income,I have no income,Yes,,Because of lack of time,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,Less often,Less often,I don't do this activity,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Male,Married, 26 - 35,Apartment,City,Nablus,Private Sector Employee,Inside the West Bank,Bachelor,"Less than 2,000 NIS",The same,Yes,Yes,,"Before the pandemic, After the pandemic occurred",,,,,Much less,I don't do this activity,Less often,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,No,Because of the noise,,,,,,,,,,,,,,,,,,,No,Mainly because there is no open natural areas around and near my town,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Male,Single,Less than 18,Apartment,Village,Jerusalem,Student,,Highschool or Less,I have no income,I have no income,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,I don't do this activity,Much less,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,I don't do this activity,Much less,About the same,I don't do this activity,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
518,Male,Married,18 - 25,House,Village,Jerusalem,Driver,Inside the Greenline,Highschool or Less,"More than 8,000 NIS",Severely decreased,Yes,No,Because of lack of time,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,,Before the pandemic,,,,,"Before the pandemic, After the pandemic occurred",,About the same,Much less,Much less,Much less,Yes,,After the pandemic occurred,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,,Before the pandemic,,,,,"Before the pandemic, After the pandemic occurred",,,About the same,Much less,Much less,Much less,Much less,Much less,Much less,Much less,More often,More often,More often,I don't do this activity
519,Male,Married,36 - 45,Apartment,City,Jerusalem,Driver,Inside the Greenline,Highschool or Less,"4,001 - 6,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,,Before the pandemic,,,Before the pandemic,,,Before the pandemic,,,,,,Before the pandemic,Much less,Much less,Much less,I don't do this activity,Yes,,,,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",Much less,Much less,Less often,Much less,I don't do this activity,Much less,I don't do this activity,I don't do this activity,Much less,I don't do this activity,Less often,I don't do this activity
520,Female,Married, 26 - 35,Apartment,City,Nablus,Unemployed,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",Much more often,Less often,Less often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",Much more often,More often,About the same,About the same,I don't do this activity,Much more often,Less often,I don't do this activity,Much more often,Much more often,Much more often,Much more often
521,Male,Married,36 - 45,House,Town,Jerusalem,Merchant,Inside the West Bank,Master,"2,001 - 4,000 NIS",The same,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,About the same,About the same,About the same,About the same,More often,More often,More often,About the same,I don't do this activity,No,Because of lack of time,,,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,Before the pandemic,,,,,,,,I don't do this activity,Much less,Much less,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
522,Male,Married,36 - 45,House,Village,Jenin,Teacher,Inside the West Bank,Master,"4,001 - 6,000 NIS",The same,Yes,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,Much more often,Much more often,Much more often,More often,I don't do this activity,More often,More often,More often,I don't do this activity,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",More often,Less often,More often,I don't do this activity,Yes,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",I don't do this activity,Less often,More often,Much more often,I don't do this activity,More often,Much more often,I don't do this activity,Much more often,Much more often,Much more often,Much more often
523,Male,Single, 26 - 35,House,Refugee Camp,Bethlehem,Private Sector Employee,Inside the West Bank,Diploma,I prefer not to answer,Decreased,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,Before the pandemic,Less often,More often,Much more often,Much more often,Much less,Much more often,Much more often,Much more often,I don't do this activity,Yes,,,,,,"Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,Before the pandemic,,,,,,Before the pandemic,Less often,Much more often,Much more often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,After the pandemic occurred,Before the pandemic,,,,,Before the pandemic,,,More often,Much more often,Much less,I don't do this activity,I don't do this activity,I don't do this activity,Less often,Much more often,Much more often,Much more often,Much more often,Much more often
524,Male,Married,36 - 45,Apartment,Town,Jerusalem,Teacher,Inside the Greenline,Master,"More than 8,000 NIS",The same,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",Less often,More often,About the same,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,More often,More often,More often,I don't do this activity,I don't do this activity,More often,About the same,I don't do this activity,I don't do this activity,Much more often,Much more often,About the same
525,Male,Married,36 - 45,House,Village,Qalqelyah,Worker,Inside the Greenline,Highschool or Less,"6,001 - 8,000 NIS",Decreased,Yes,Yes,,,Before the pandemic,,,,Much more often,About the same,I don't do this activity,I don't do this activity,I don't do this activity,More often,I don't do this activity,Much more often,I don't do this activity,Yes,,,Before the pandemic,,,,Before the pandemic,,,,,Before the pandemic,,,,More often,More often,More often,I don't do this activity,Yes,,,Before the pandemic,,,,,,Before the pandemic,,,,,,,Before the pandemic,More often,More often,I don't do this activity,More often,I don't do this activity,I don't do this activity,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
526,Male,Single, 26 - 35,Apartment,City,Ramallah,Private Sector Employee,Inside the West Bank,Bachelor,"Less than 2,000 NIS",Decreased,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,Much less,I don't do this activity,Much less,I don't do this activity,More often,More often,Less often,About the same,I don't do this activity,No,Because of lack of time,,,,,,,,,,,,,,,,,,,Yes,,,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",,,Less often,Less often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Less often,Much less,Much less,I don't do this activity
527,Male,Married,36 - 45,Apartment,Village,Qalqelyah,Worker,Inside the Greenline,Highschool or Less,"More than 8,000 NIS",Severely decreased,Yes,Yes,,After the pandemic occurred,Before the pandemic,,,,I don't do this activity,Less often,Less often,Much less,Much less,Much less,I don't do this activity,Much less,I don't do this activity,Yes,,After the pandemic occurred,Before the pandemic,,Before the pandemic,Before the pandemic,,,Before the pandemic,,,Before the pandemic,,,,Much less,Much less,Much less,Much less,Yes,,After the pandemic occurred,Before the pandemic,,Before the pandemic,Before the pandemic,,,Before the pandemic,,,Before the pandemic,,,,,Much less,Much less,Much less,Less often,I don't do this activity,I don't do this activity,Much less,I don't do this activity,I don't do this activity,I don't do this activity,Much less,I don't do this activity
528,Male,Single, 26 - 35,House,Town,Tulkarem,Private Sector Employee,Inside the West Bank,Bachelor,"Less than 2,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,After the pandemic occurred,,Before the pandemic,Before the pandemic,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",Before the pandemic,After the pandemic occurred,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",I don't do this activity,More often,Much more often,Less often,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",,,Before the pandemic,"Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",Before the pandemic,After the pandemic occurred,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",Much more often,Much more often,More often,About the same,More often,More often,More often,More often,About the same,Much more often,More often,Less often
529,Male,Single,18 - 25,House,City,Bethlehem,Student,,Master,I have no income,I have no income,Yes,Yes,,"Before the pandemic, After the pandemic occurred",,,,,More often,More often,I don't do this activity,I don't do this activity,More often,I don't do this activity,More often,More often,I don't do this activity,No,Because of lack of time,,,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Female,Married,36 - 45,Apartment,Village,Qalqelyah,Unemployed,,Bachelor,I have no income,I have no income,Yes,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Less often,I don't do this activity,More often,About the same,More often,About the same,I don't do this activity,More often,I don't do this activity,No,Lockdown and COVID-19 pandemic,,,,,,,,,,,,,,,,,,,No,Lockdown and COVID-19 pandemic ??No?No?,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Female,Married,18 - 25,House,Village,Jenin,Governmental Employee,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",Severely decreased,Yes,Yes,,After the pandemic occurred,Before the pandemic,,,,Less often,I don't do this activity,More often,More often,Much more often,Much more often,I don't do this activity,Less often,Less often,No,Because of lack of time,,,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,,Before the pandemic,,After the pandemic occurred,,,,,"Before the pandemic, After the pandemic occurred",,,About the same,More often,I don't do this activity,More often,I don't do this activity,Much more often,More often,I don't do this activity,Much more often,Much more often,Much more often,I don't do this activity
532,Female,Married,18 - 25,House,City,Bethlehem,Private Sector Employee,Inside the West Bank,Diploma,"Less than 2,000 NIS",Severely decreased,Yes,No,Because of lack of privacy,,,,,,,,,,,,,,,No,Not one of my interests,,,,,,,,,,,,,,,,,,,No,Not one of my interests,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Male,Single,Less than 18,Apartment,City,Bethlehem,Student,Inside the West Bank,Highschool or Less,"2,001 - 4,000 NIS",Severely decreased,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,After the pandemic occurred,,,,Before the pandemic,"Before the pandemic, After the pandemic occurred",,,,Before the pandemic,After the pandemic occurred,Before the pandemic,After the pandemic occurred,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,Before the pandemic,Before the pandemic,,,,Before the pandemic,Before the pandemic,,,,Before the pandemic,After the pandemic occurred,Before the pandemic,After the pandemic occurred,Before the pandemic,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Much more often,Much more often,I don't do this activity,I don't do this activity,About the same,About the same,Much more often
534,Male,Married, 56 - 65,House,City,Bethlehem,Farmer,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",Severely decreased,Yes,Yes,,After the pandemic occurred,Before the pandemic,,,,More often,More often,Much more often,I don't do this activity,I don't do this activity,Less often,Much more often,More often,I don't do this activity,No,Lockdown and COVID-19 pandemic,,,,,,,,,,,,,,,,,,,Yes,,,After the pandemic occurred,,,Before the pandemic,After the pandemic occurred,,,Before the pandemic,,,,Before the pandemic,,,Less often,Less often,Less often,Less often,I don't do this activity,I don't do this activity,Less often,Much less,I don't do this activity,I don't do this activity,Less often,I don't do this activity
535,Male,Married, 56 - 65,Apartment,City,Jerusalem,Teacher,Inside the Greenline,Master,"More than 8,000 NIS",The same,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",About the same,About the same,More often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",About the same,About the same,More often,I don't do this activity,I don't do this activity,I don't do this activity,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
536,Female,Married,18 - 25,Apartment,City,Tulkarem,Unemployed,Inside the West Bank,Bachelor,I have no income,I have no income,No,,,,,,,,,,,,,,,,,No,Mainly for economic reasons,,,,,Before the pandemic,After the pandemic occurred,,,,,,Before the pandemic,,,I don't do this activity,I don't do this activity,Much less,I don't do this activity,Yes,,,,,,Before the pandemic,,,,,Before the pandemic,,,,,Before the pandemic,I don't do this activity,I don't do this activity,I don't do this activity,Much less,I don't do this activity,I don't do this activity,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
537,Female,Married,36 - 45,House,City,Bethlehem,Private Sector Employee,Inside the West Bank,Bachelor,I prefer not to answer,Decreased,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",More often,About the same,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,More often,More often,I don't do this activity,Less often,I don't do this activity,I don't do this activity,Less often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
538,Female,Married,46 - 55,House,City,Bethlehem,Medical Sector Employee,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",The same,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,Much less,Less often,About the same,About the same,About the same,About the same,About the same,Less often,I don't do this activity,Yes,,,Before the pandemic,,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,Much less,Much less,Much less,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,About the same,About the same,Less often,Less often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
539,Male,Married, 26 - 35,Apartment,City,Jerusalem,Freelancer,Inside the Greenline,Bachelor,"More than 8,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,,Before the pandemic,,,,,,Before the pandemic,,,,,,Before the pandemic,Much less,Much less,Less often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",Less often,Less often,Less often,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
540,Male,Married,More than 65,House,Town,Bethlehem,Private Sector Employee,Inside the West Bank,Master,"2,001 - 4,000 NIS",The same,Yes,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",More often,More often,More often,I don't do this activity,More often,More often,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,More often,More often,More often,More often,Yes,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,I don't do this activity,More often,More often,More often,I don't do this activity,More often,I don't do this activity,I don't do this activity,Much less,Less often,I don't do this activity,I don't do this activity
541,Male,Married, 26 - 35,Apartment,City,Nablus,,Inside the West Bank,Bachelor,"4,001 - 6,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Female,Married, 26 - 35,Apartment,Refugee Camp,Ramallah,Teacher,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",The same,Yes,Yes,,"Before the pandemic, After the pandemic occurred",,,,,Less often,I don't do this activity,I don't do this activity,About the same,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,No,Mainly for economic reasons,,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",About the same,Less often,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,About the same,Much less,I don't do this activity,I don't do this activity,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
543,Male,Married, 26 - 35,House,Village,Ramallah,Worker,Inside the Greenline,Highschool or Less,"2,001 - 4,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,No,Mainly because there is no open natural areas around and near my town,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Female,Married,36 - 45,House,City,Bethlehem,Private Sector Employee,Inside the West Bank,Highschool or Less,"2,001 - 4,000 NIS",Severely decreased,Yes,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,More often,I don't do this activity,Much more often,More often,Much more often,More often,About the same,I don't do this activity,I don't do this activity,No,Because of lack of time,,,,,,,,,,,,,,,,,,,No,Because of lack of time,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Male,Married, 26 - 35,Apartment,City,Ramallah,Private Sector Employee,Inside the West Bank,Bachelor,"4,001 - 6,000 NIS",The same,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",Much less,Much less,Much less,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",Much less,Much less,Much less,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,About the same,About the same,About the same,I don't do this activity
546,Female,Married, 26 - 35,Apartment,Village,Ramallah,Private Sector Employee,Inside the West Bank,Bachelor,"Less than 2,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,I don't do this activity,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,Much more often,More often,About the same,I don't do this activity
547,Male,Single,18 - 25,House,Village,Qalqelyah,Unemployed,,Highschool or Less,I have no income,I have no income,Yes,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,I don't do this activity,I don't do this activity,About the same,About the same,Less often,More often,More often,About the same,I don't do this activity,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,,Before the pandemic,,,,,Before the pandemic,,Less often,Less often,About the same,I don't do this activity,Yes,,,Before the pandemic,Before the pandemic,,Before the pandemic,Before the pandemic,,Before the pandemic,,,,,,Before the pandemic,,About the same,About the same,Less often,Much less,I don't do this activity,About the same,I don't do this activity,I don't do this activity,Much more often,Much more often,Much more often,Much more often
548,Female,Married,46 - 55,House,City,Bethlehem,Teacher,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",The same,Yes,Yes,,After the pandemic occurred,Before the pandemic,,Before the pandemic,Before the pandemic,Much less,I don't do this activity,More often,More often,More often,About the same,I don't do this activity,I don't do this activity,I don't do this activity,No,Mainly because there is no urban park/green/open spaces in my town,,,,,,,,,,,,,,,,,,,No,Mainly because there is no open natural areas around and near my town,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Male,Married,46 - 55,House,City,Hebron,Teacher,Inside the West Bank,Master,"4,001 - 6,000 NIS",The same,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,About the same,About the same,More often,More often,More often,More often,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,About the same,About the same,About the same,About the same,Yes,,,,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,About the same,About the same,About the same,I don't do this activity,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
550,Female,Married,46 - 55,House,Village,Bethlehem,Teacher,Inside the West Bank,Bachelor,"4,001 - 6,000 NIS",The same,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,More often,More often,More often,More often,More often,More often,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,I don't do this activity,Less often,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,,,About the same,About the same,I don't do this activity,I don't do this activity,I don't do this activity,About the same,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
551,Female,Single,36 - 45,House,Village,Nablus,Unemployed,,Highschool or Less,I have no income,I have no income,Yes,Yes,,,Before the pandemic,Before the pandemic,,,I don't do this activity,I don't do this activity,Much less,Much less,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,No,Lockdown and COVID-19 pandemic,,,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,,,,,"Before the pandemic, After the pandemic occurred",,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
552,Male,Married,46 - 55,Apartment,City,Jerusalem,Freelancer,Inside the Greenline,Bachelor,"4,001 - 6,000 NIS",Severely decreased,Yes,Yes,,,,Before the pandemic,,After the pandemic occurred,More often,Much more often,Much more often,Much more often,More often,Much more often,I don't do this activity,More often,I don't do this activity,Yes,,,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",More often,More often,More often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",More often,More often,More often,I don't do this activity,I don't do this activity,I don't do this activity,Much more often,More often,Less often,I don't do this activity,Less often,I don't do this activity
